,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1650234643.5889988,33355.0,5836.682,7793.626,3656.324,"{'root--consul': 5.704918032786885, 'root--frontend': 6.049180327868853, 'root--geo': 5.704918032786885, 'root--jaeger': 5.475409836065574, 'root--memcached-profile': 5.475409836065574, 'root--memcached-rate': 5.245901639344262, 'root--memcached-reserve': 5.475409836065574, 'root--mongodb-geo': 4.967213114754099, 'root--mongodb-profile': 4.901639344262295, 'root--mongodb-rate': 4.967213114754099, 'root--mongodb-recommendation': 5.245901639344262, 'root--mongodb-reservation': 4.524590163934426, 'root--mongodb-user': 4.80327868852459, 'root--profile': 5.016393442622951, 'root--rate': 5.245901639344262, 'root--recommendation': 5.213114754098361, 'root--reservation': 5.081967213114754, 'root--search': 4.918032786885246, 'root--user': 4.852459016393443}",1650234643.5889988,1650234674.1369581
1650234674.1377034,77634.0,2280.957,6601.537,2547.4829999999997,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 8.0}",1650234674.1377034,1650234704.1814508
1650234704.1821175,61956.0,5161.542,6449.863,4349.999,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 8.0}",1650234704.1821175,1650234734.7338145
1650234734.7345126,61523.0,5226.503,6734.671,4398.231,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 8.0}",1650234734.7345126,1650234764.7860336
1650234764.7867475,56138.0,5854.131,7636.382,4724.874,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 8.0}",1650234764.7867475,1650234795.3343132
1650234795.334993,56377.0,5327.052,7328.25,2957.239,"{'root--consul': 11.21311475409836, 'root--frontend': 6.852459016393443, 'root--geo': 13.049180327868852, 'root--jaeger': 10.721311475409836, 'root--memcached-profile': 6.852459016393443, 'root--memcached-rate': 9.836065573770492, 'root--memcached-reserve': 5.704918032786885, 'root--mongodb-geo': 8.918032786885245, 'root--mongodb-profile': 5.704918032786885, 'root--mongodb-rate': 5.704918032786885, 'root--mongodb-recommendation': 5.704918032786885, 'root--mongodb-reservation': 10.508196721311476, 'root--mongodb-user': 5.704918032786885, 'root--profile': 7.049180327868853, 'root--rate': 8.80327868852459, 'root--recommendation': 6.721311475409836, 'root--reservation': 6.721311475409836, 'root--search': 5.868852459016393, 'root--user': 9.180327868852459}",1650234795.334993,1650234825.887007
1650234825.8880358,59725.0,5167.72,7258.439,2186.379,"{'root--consul': 15.0, 'root--frontend': 6.0, 'root--geo': 19.0, 'root--jaeger': 14.0, 'root--memcached-profile': 6.0, 'root--memcached-rate': 12.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 15.0, 'root--mongodb-user': 3.0, 'root--profile': 6.0, 'root--rate': 10.0, 'root--recommendation': 5.0, 'root--reservation': 5.0, 'root--search': 3.0, 'root--user': 11.0}",1650234825.8880358,1650234855.939494
1650234855.9401922,59204.0,5920.137,7213.707,2222.562,"{'root--consul': 15.0, 'root--frontend': 6.0, 'root--geo': 19.0, 'root--jaeger': 14.0, 'root--memcached-profile': 6.0, 'root--memcached-rate': 12.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 15.0, 'root--mongodb-user': 3.0, 'root--profile': 6.0, 'root--rate': 10.0, 'root--recommendation': 5.0, 'root--reservation': 5.0, 'root--search': 3.0, 'root--user': 11.0}",1650234855.9401922,1650234886.4982874
1650234886.4992752,59068.0,5783.854,7563.251,2134.904,"{'root--consul': 15.0, 'root--frontend': 6.0, 'root--geo': 19.0, 'root--jaeger': 14.0, 'root--memcached-profile': 6.0, 'root--memcached-rate': 12.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 15.0, 'root--mongodb-user': 3.0, 'root--profile': 6.0, 'root--rate': 10.0, 'root--recommendation': 5.0, 'root--reservation': 5.0, 'root--search': 3.0, 'root--user': 11.0}",1650234886.4992752,1650234916.5570562
1650234916.5576556,59130.0,5610.258,6163.882,2238.495,"{'root--consul': 15.0, 'root--frontend': 6.0, 'root--geo': 19.0, 'root--jaeger': 14.0, 'root--memcached-profile': 6.0, 'root--memcached-rate': 12.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 3.0, 'root--mongodb-rate': 3.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 15.0, 'root--mongodb-user': 3.0, 'root--profile': 6.0, 'root--rate': 10.0, 'root--recommendation': 5.0, 'root--reservation': 5.0, 'root--search': 3.0, 'root--user': 11.0}",1650234916.5576556,1650234947.1027448
1650234947.1034062,85922.0,2036.52,5501.682,1758.816,"{'root--consul': 14.733333333333333, 'root--frontend': 6.9, 'root--geo': 16.866666666666667, 'root--jaeger': 12.9, 'root--memcached-profile': 5.7, 'root--memcached-rate': 11.3, 'root--memcached-reserve': 4.3, 'root--mongodb-geo': 9.5, 'root--mongodb-profile': 3.8666666666666667, 'root--mongodb-rate': 3.2666666666666666, 'root--mongodb-recommendation': 3.2333333333333334, 'root--mongodb-reservation': 13.8, 'root--mongodb-user': 3.566666666666667, 'root--profile': 5.7, 'root--rate': 9.533333333333333, 'root--recommendation': 4.866666666666666, 'root--reservation': 5.066666666666666, 'root--search': 3.466666666666667, 'root--user': 10.733333333333333}",1650234947.1034062,1650234977.1518722
1650234977.15276,89323.0,53.351,116.529,2.247,"{'root--consul': 14.0, 'root--frontend': 15.0, 'root--geo': 3.0, 'root--jaeger': 3.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 16.0, 'root--mongodb-geo': 5.0, 'root--mongodb-profile': 16.6, 'root--mongodb-rate': 7.0, 'root--mongodb-recommendation': 7.0, 'root--mongodb-reservation': 3.0, 'root--mongodb-user': 14.0, 'root--profile': 3.0, 'root--rate': 3.0, 'root--recommendation': 3.0, 'root--reservation': 7.916666666666667, 'root--search': 15.9, 'root--user': 7.0}",1650234977.15276,1650235007.191408
1650235007.1925066,89322.0,67.527,110.547,1.7519999999999998,"{'root--consul': 14.0, 'root--frontend': 15.0, 'root--geo': 3.0, 'root--jaeger': 3.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 16.0, 'root--mongodb-geo': 5.0, 'root--mongodb-profile': 17.0, 'root--mongodb-rate': 7.0, 'root--mongodb-recommendation': 7.0, 'root--mongodb-reservation': 3.0, 'root--mongodb-user': 14.0, 'root--profile': 3.0, 'root--rate': 3.0, 'root--recommendation': 3.0, 'root--reservation': 8.0, 'root--search': 16.0, 'root--user': 7.0}",1650235007.1925066,1650235037.2355518
1650235037.2362785,89326.0,55.494,103.189,1.281,"{'root--consul': 14.0, 'root--frontend': 15.0, 'root--geo': 3.0, 'root--jaeger': 3.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 16.0, 'root--mongodb-geo': 5.0, 'root--mongodb-profile': 17.0, 'root--mongodb-rate': 7.0, 'root--mongodb-recommendation': 7.0, 'root--mongodb-reservation': 3.0, 'root--mongodb-user': 14.0, 'root--profile': 3.0, 'root--rate': 3.0, 'root--recommendation': 3.0, 'root--reservation': 8.0, 'root--search': 16.0, 'root--user': 7.0}",1650235037.2362785,1650235067.7679524
1650235067.7686255,89327.0,53.041,104.154,2.832,"{'root--consul': 14.0, 'root--frontend': 15.0, 'root--geo': 3.0, 'root--jaeger': 3.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 16.0, 'root--mongodb-geo': 5.0, 'root--mongodb-profile': 17.0, 'root--mongodb-rate': 7.0, 'root--mongodb-recommendation': 7.0, 'root--mongodb-reservation': 3.0, 'root--mongodb-user': 14.0, 'root--profile': 3.0, 'root--rate': 3.0, 'root--recommendation': 3.0, 'root--reservation': 8.0, 'root--search': 16.0, 'root--user': 7.0}",1650235067.7686255,1650235097.8253481
1650235097.8260539,89117.0,65.57,107.219,3.458,"{'root--consul': 13.934426229508198, 'root--frontend': 14.737704918032787, 'root--geo': 3.0, 'root--jaeger': 3.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 16.0, 'root--mongodb-geo': 5.0, 'root--mongodb-profile': 17.0, 'root--mongodb-rate': 7.0, 'root--mongodb-recommendation': 7.0, 'root--mongodb-reservation': 3.0, 'root--mongodb-user': 14.0, 'root--profile': 3.0, 'root--rate': 3.0, 'root--recommendation': 3.0, 'root--reservation': 8.0, 'root--search': 16.0, 'root--user': 7.0}",1650235097.8260539,1650235128.358212
1650235128.3588464,89322.0,58.52,104.118,1.567,"{'root--consul': 12.0, 'root--frontend': 7.0, 'root--geo': 14.9, 'root--jaeger': 3.9166666666666665, 'root--memcached-profile': 10.65, 'root--memcached-rate': 16.05, 'root--memcached-reserve': 7.75, 'root--mongodb-geo': 3.3, 'root--mongodb-profile': 7.65, 'root--mongodb-rate': 6.15, 'root--mongodb-recommendation': 3.6, 'root--mongodb-reservation': 15.9, 'root--mongodb-user': 14.0, 'root--profile': 4.633333333333334, 'root--rate': 3.0, 'root--recommendation': 3.0, 'root--reservation': 5.45, 'root--search': 5.383333333333334, 'root--user': 3.7333333333333334}",1650235128.3588464,1650235158.4313595
1650235158.4320323,89323.0,54.255,108.071,11.034,"{'root--consul': 12.0, 'root--frontend': 7.0, 'root--geo': 17.0, 'root--jaeger': 4.0, 'root--memcached-profile': 12.0, 'root--memcached-rate': 18.0, 'root--memcached-reserve': 7.0, 'root--mongodb-geo': 3.0, 'root--mongodb-profile': 6.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 19.0, 'root--mongodb-user': 14.0, 'root--profile': 5.0, 'root--rate': 3.0, 'root--recommendation': 3.0, 'root--reservation': 5.0, 'root--search': 3.0, 'root--user': 3.0}",1650235158.4320323,1650235188.9704342
1650235188.971075,89324.0,57.462,114.528,1.598,"{'root--consul': 12.0, 'root--frontend': 7.0, 'root--geo': 17.0, 'root--jaeger': 4.0, 'root--memcached-profile': 12.0, 'root--memcached-rate': 18.0, 'root--memcached-reserve': 7.0, 'root--mongodb-geo': 3.0, 'root--mongodb-profile': 6.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 19.0, 'root--mongodb-user': 14.0, 'root--profile': 5.0, 'root--rate': 3.0, 'root--recommendation': 3.0, 'root--reservation': 5.0, 'root--search': 3.0, 'root--user': 3.0}",1650235188.971075,1650235219.004276
1650235219.0049214,89318.0,54.3,100.302,1.715,"{'root--consul': 12.0, 'root--frontend': 7.0, 'root--geo': 17.0, 'root--jaeger': 4.0, 'root--memcached-profile': 12.0, 'root--memcached-rate': 18.0, 'root--memcached-reserve': 7.0, 'root--mongodb-geo': 3.0, 'root--mongodb-profile': 6.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 19.0, 'root--mongodb-user': 14.0, 'root--profile': 5.0, 'root--rate': 3.0, 'root--recommendation': 3.0, 'root--reservation': 5.0, 'root--search': 3.0, 'root--user': 3.0}",1650235219.0049214,1650235249.0448966
1650235249.0455608,89319.0,69.06,106.867,3.533,"{'root--consul': 12.0, 'root--frontend': 7.0, 'root--geo': 17.0, 'root--jaeger': 4.0, 'root--memcached-profile': 12.0, 'root--memcached-rate': 18.0, 'root--memcached-reserve': 7.0, 'root--mongodb-geo': 3.0, 'root--mongodb-profile': 6.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 19.0, 'root--mongodb-user': 14.0, 'root--profile': 5.0, 'root--rate': 3.0, 'root--recommendation': 3.0, 'root--reservation': 5.0, 'root--search': 3.0, 'root--user': 3.0}",1650235249.0455608,1650235279.0813148
1650235279.0819106,89297.0,62.283,202.4,32.58,"{'root--consul': 5.7, 'root--frontend': 4.2, 'root--geo': 14.2, 'root--jaeger': 6.85, 'root--memcached-profile': 9.2, 'root--memcached-rate': 17.333333333333332, 'root--memcached-reserve': 4.533333333333333, 'root--mongodb-geo': 6.766666666666667, 'root--mongodb-profile': 12.983333333333333, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 13.5, 'root--mongodb-user': 7.95, 'root--profile': 3.9, 'root--rate': 8.316666666666666, 'root--recommendation': 3.0, 'root--reservation': 3.9, 'root--search': 8.15, 'root--user': 3.0}",1650235279.0819106,1650235309.1279047
1650235309.1286082,89298.0,65.917,132.803,26.659000000000002,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 13.0, 'root--jaeger': 9.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 17.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 19.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 3.0, 'root--profile': 3.0, 'root--rate': 14.0, 'root--recommendation': 3.0, 'root--reservation': 3.0, 'root--search': 14.0, 'root--user': 3.0}",1650235309.1286082,1650235339.670834
1650235339.671534,89303.0,68.032,108.434,15.999,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 13.0, 'root--jaeger': 9.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 17.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 19.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 3.0, 'root--profile': 3.0, 'root--rate': 14.0, 'root--recommendation': 3.0, 'root--reservation': 3.0, 'root--search': 14.0, 'root--user': 3.0}",1650235339.671534,1650235369.7088447
1650235369.7094646,89316.0,52.191,118.053,6.444,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 13.0, 'root--jaeger': 9.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 17.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 19.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 3.0, 'root--profile': 3.0, 'root--rate': 14.0, 'root--recommendation': 3.0, 'root--reservation': 3.0, 'root--search': 14.0, 'root--user': 3.0}",1650235369.7094646,1650235399.7524235
1650235399.7530885,89320.0,62.274,101.175,2.471,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 13.0, 'root--jaeger': 9.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 17.0, 'root--memcached-reserve': 3.0, 'root--mongodb-geo': 10.0, 'root--mongodb-profile': 19.0, 'root--mongodb-rate': 6.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 3.0, 'root--profile': 3.0, 'root--rate': 14.0, 'root--recommendation': 3.0, 'root--reservation': 3.0, 'root--search': 14.0, 'root--user': 3.0}",1650235399.7530885,1650235429.804957
1650235429.8056333,77516.0,420.055,5858.61,1196.211,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 10.639344262295081, 'root--jaeger': 8.60655737704918, 'root--memcached-profile': 10.360655737704919, 'root--memcached-rate': 12.40983606557377, 'root--memcached-reserve': 5.885245901639344, 'root--mongodb-geo': 7.704918032786885, 'root--mongodb-profile': 18.704918032786885, 'root--mongodb-rate': 7.180327868852459, 'root--mongodb-recommendation': 4.704918032786885, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 3.0, 'root--profile': 3.0, 'root--rate': 14.918032786885245, 'root--recommendation': 4.508196721311475, 'root--reservation': 3.262295081967213, 'root--search': 11.934426229508198, 'root--user': 3.721311475409836}",1650235429.8056333,1650235460.338258
1650235460.3389812,59954.0,5259.362,7155.368,5485.1140000000005,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 7.0, 'root--jaeger': 8.0, 'root--memcached-profile': 16.0, 'root--memcached-rate': 3.0, 'root--memcached-reserve': 13.0, 'root--mongodb-geo': 3.0, 'root--mongodb-profile': 18.0, 'root--mongodb-rate': 10.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 3.0, 'root--profile': 3.0, 'root--rate': 18.0, 'root--recommendation': 9.0, 'root--reservation': 4.0, 'root--search': 7.0, 'root--user': 6.0}",1650235460.3389812,1650235490.3902142
1650235490.3909118,64465.0,4728.286,6699.208,4184.021,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 7.0, 'root--jaeger': 8.0, 'root--memcached-profile': 16.0, 'root--memcached-rate': 3.0, 'root--memcached-reserve': 13.0, 'root--mongodb-geo': 3.0, 'root--mongodb-profile': 18.0, 'root--mongodb-rate': 10.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 3.0, 'root--profile': 3.0, 'root--rate': 18.0, 'root--recommendation': 9.0, 'root--reservation': 4.0, 'root--search': 7.0, 'root--user': 6.0}",1650235490.3909118,1650235520.9354696
1650235520.936141,67131.0,4181.899,6027.247,3860.6009999999997,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 7.0, 'root--jaeger': 8.0, 'root--memcached-profile': 16.0, 'root--memcached-rate': 3.0, 'root--memcached-reserve': 13.0, 'root--mongodb-geo': 3.0, 'root--mongodb-profile': 18.0, 'root--mongodb-rate': 10.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 3.0, 'root--profile': 3.0, 'root--rate': 18.0, 'root--recommendation': 9.0, 'root--reservation': 4.0, 'root--search': 7.0, 'root--user': 6.0}",1650235520.936141,1650235550.9852505
1650235550.9859266,70172.0,3610.169,7426.601,3509.7990000000004,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 7.0, 'root--jaeger': 8.0, 'root--memcached-profile': 16.0, 'root--memcached-rate': 3.0, 'root--memcached-reserve': 13.0, 'root--mongodb-geo': 3.0, 'root--mongodb-profile': 18.0, 'root--mongodb-rate': 10.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 3.0, 'root--profile': 3.0, 'root--rate': 18.0, 'root--recommendation': 9.0, 'root--reservation': 4.0, 'root--search': 7.0, 'root--user': 6.0}",1650235550.9859266,1650235581.5258381
1650235581.5265474,65553.0,5018.76,7605.617,4017.5809999999997,"{'root--consul': 3.0, 'root--frontend': 3.0, 'root--geo': 7.0, 'root--jaeger': 8.0, 'root--memcached-profile': 14.916666666666666, 'root--memcached-rate': 3.0, 'root--memcached-reserve': 13.0, 'root--mongodb-geo': 3.0, 'root--mongodb-profile': 18.0, 'root--mongodb-rate': 10.0, 'root--mongodb-recommendation': 9.0, 'root--mongodb-reservation': 9.0, 'root--mongodb-user': 3.0, 'root--profile': 2.9833333333333334, 'root--rate': 18.0, 'root--recommendation': 9.0, 'root--reservation': 4.0, 'root--search': 7.0, 'root--user': 6.0}",1650235581.5265474,1650235611.5836995
1650235611.5850372,89317.0,61.285,109.382,13.049000000000001,"{'root--consul': 7.916666666666667, 'root--frontend': 6.933333333333334, 'root--geo': 17.266666666666666, 'root--jaeger': 17.333333333333332, 'root--memcached-profile': 3.0, 'root--memcached-rate': 4.966666666666667, 'root--memcached-reserve': 4.6, 'root--mongodb-geo': 8.6, 'root--mongodb-profile': 10.533333333333333, 'root--mongodb-rate': 16.5, 'root--mongodb-recommendation': 3.4, 'root--mongodb-reservation': 15.433333333333334, 'root--mongodb-user': 4.866666666666666, 'root--profile': 3.8333333333333335, 'root--rate': 11.466666666666667, 'root--recommendation': 3.4, 'root--reservation': 3.066666666666667, 'root--search': 5.133333333333334, 'root--user': 3.2}",1650235611.5850372,1650235641.6364267
1650235641.63714,82883.0,1290.229,5419.757,1408.381,"{'root--consul': 8.0, 'root--frontend': 7.0, 'root--geo': 18.0, 'root--jaeger': 18.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 10.0, 'root--mongodb-rate': 17.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 16.0, 'root--mongodb-user': 5.0, 'root--profile': 4.0, 'root--rate': 11.0, 'root--recommendation': 3.0, 'root--reservation': 3.0, 'root--search': 5.0, 'root--user': 3.0}",1650235641.63714,1650235672.1919267
1650235672.1926193,75391.0,2808.308,7771.225,2330.723,"{'root--consul': 8.0, 'root--frontend': 7.0, 'root--geo': 18.0, 'root--jaeger': 18.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 10.0, 'root--mongodb-rate': 17.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 16.0, 'root--mongodb-user': 5.0, 'root--profile': 4.0, 'root--rate': 11.0, 'root--recommendation': 3.0, 'root--reservation': 3.0, 'root--search': 5.0, 'root--user': 3.0}",1650235672.1926193,1650235702.2438838
1650235702.2445767,75376.0,2890.568,6398.184,2451.491,"{'root--consul': 8.0, 'root--frontend': 7.0, 'root--geo': 18.0, 'root--jaeger': 18.0, 'root--memcached-profile': 3.0, 'root--memcached-rate': 5.0, 'root--memcached-reserve': 4.0, 'root--mongodb-geo': 9.0, 'root--mongodb-profile': 10.0, 'root--mongodb-rate': 17.0, 'root--mongodb-recommendation': 3.0, 'root--mongodb-reservation': 16.0, 'root--mongodb-user': 5.0, 'root--profile': 4.0, 'root--rate': 11.0, 'root--recommendation': 3.0, 'root--reservation': 3.0, 'root--search': 5.0, 'root--user': 3.0}",1650235702.2445767,1650235732.7768893
