,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1650181564.8556814,48304.0,5884.446,6212.922,2344.879,"{'root--consul': 5.819672131147541, 'root--frontend': 6.622950819672131, 'root--geo': 6.278688524590164, 'root--jaeger': 6.163934426229508, 'root--memcached-profile': 5.819672131147541, 'root--memcached-rate': 5.819672131147541, 'root--memcached-reserve': 5.819672131147541, 'root--mongodb-geo': 5.819672131147541, 'root--mongodb-profile': 5.819672131147541, 'root--mongodb-rate': 5.590163934426229, 'root--mongodb-recommendation': 5.590163934426229, 'root--mongodb-reservation': 5.590163934426229, 'root--mongodb-user': 5.344262295081967, 'root--profile': 5.590163934426229, 'root--rate': 5.557377049180328, 'root--recommendation': 5.426229508196721, 'root--reservation': 3.9672131147540983, 'root--search': 5.39344262295082, 'root--user': 5.229508196721311}",1650181564.8556814,1650181595.3978324
1650181595.3985586,54186.0,5490.115,6817.378,2305.708,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 5.655737704918033, 'root--search': 8.0, 'root--user': 8.0}",1650181595.3985586,1650181625.970989
1650181625.9717104,47229.0,5984.182,7741.229,2906.158,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 7.833333333333333, 'root--search': 8.0, 'root--user': 8.0}",1650181625.9717104,1650181656.053444
1650181656.0540867,45731.0,5049.039,7057.352,2840.3509999999997,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 8.0}",1650181656.0540867,1650181686.6014707
1650181686.60218,45335.0,5760.096,7678.4,2856.796,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 8.0}",1650181686.60218,1650181716.6690516
1650181716.6696784,45130.0,5689.406,7598.264,2790.4790000000003,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 8.0}",1650181716.6696784,1650181746.7472115
1650181746.7479017,46097.0,5959.366,7287.029,2797.133,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 8.0}",1650181746.7479017,1650181777.3389645
1650181777.3396866,46270.0,5197.342,6717.466,2802.377,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 8.0}",1650181777.3396866,1650181807.890467
1650181807.8913825,46126.0,5976.248,5665.273,2852.67,"{'root--consul': 8.0, 'root--frontend': 8.0, 'root--geo': 8.0, 'root--jaeger': 8.0, 'root--memcached-profile': 8.0, 'root--memcached-rate': 8.0, 'root--memcached-reserve': 8.0, 'root--mongodb-geo': 8.0, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.0, 'root--mongodb-recommendation': 8.0, 'root--mongodb-reservation': 8.0, 'root--mongodb-user': 8.0, 'root--profile': 8.0, 'root--rate': 8.0, 'root--recommendation': 8.0, 'root--reservation': 8.0, 'root--search': 8.0, 'root--user': 8.0}",1650181807.8913825,1650181837.965059
1650181837.9657412,42766.0,5656.517,5710.445,3360.093,"{'root--consul': 9.766666666666667, 'root--frontend': 6.633333333333334, 'root--geo': 8.6, 'root--jaeger': 9.766666666666667, 'root--memcached-profile': 7.35, 'root--memcached-rate': 7.35, 'root--memcached-reserve': 8.6, 'root--mongodb-geo': 7.35, 'root--mongodb-profile': 8.0, 'root--mongodb-rate': 8.6, 'root--mongodb-recommendation': 5.4, 'root--mongodb-reservation': 7.35, 'root--mongodb-user': 9.766666666666667, 'root--profile': 9.65, 'root--rate': 6.2, 'root--recommendation': 9.7, 'root--reservation': 6.8, 'root--search': 6.8, 'root--user': 7.4}",1650181837.9657412,1650181868.0323052
